No,StudentID,FirstName,LastName,Gender,Date,CCCD/CMND,Position
1,19120001,Tran Thi,B115,Nu,26/3/2019,67204000335,STUDENT
2,19120002,Nguyen Van,A116,Nam,16/8/2019,67204000336,STUDENT
3,19120003,Tran Thi,B116,Nu,8/12/2004,67204000337,STUDENT
4,19120004,Nguyen Van,A117,Nam,8/12/2004,67204000338,STUDENT
5,19120005,Tran Thi,B117,Nu,7/11/2004,67204000339,STUDENT
6,19120006,Nguyen Van,A118,Nam,3/3/2004,67204000340,STUDENT
7,19120007,Tran Thi,B118,Nu,5/12/2004,67204000341,STUDENT
8,19120008,Nguyen Van,A119,Nam,14/7/2018,67204000342,STUDENT
9,19120009,Tran Thi,B119,Nu,23/4/2018,67204000343,STUDENT
10,19120010,Nguyen Van,A120,Nam,25/5/2019,67204000344,STUDENT
11,19120011,Tran Thi,B120,Nu,14/9/2019,67204000345,STUDENT
12,19120012,Nguyen Van,A121,Nam,26/3/2019,67204000346,STUDENT
13,19120013,Tran Thi,B121,Nu,16/8/2019,67204000347,STUDENT
14,19120014,Nguyen Van,A122,Nam,8/12/2004,67204000348,STUDENT
15,19120015,Tran Thi,B122,Nu,8/12/2004,67204000349,STUDENT
16,19120016,Nguyen Van,A123,Nam,7/11/2004,67204000350,STUDENT
17,19120017,Tran Thi,B123,Nu,3/3/2004,67204000351,STUDENT
18,19120018,Nguyen Van,A124,Nam,5/12/2004,67204000352,STUDENT
19,19120019,Tran Thi,B124,Nu,14/7/2018,67204000353,STUDENT
20,19120020,Nguyen Van,A125,Nam,23/4/2018,67204000354,STUDENT
21,19130001,Tran Thi,B125,Nu,25/5/2019,67204000355,STUDENT
22,19130002,Nguyen Van,A126,Nam,14/9/2019,67204000356,STUDENT
23,19130003,Tran Thi,B126,Nu,26/3/2019,67204000357,STUDENT
24,19130004,Nguyen Van,A127,Nam,16/8/2019,67204000358,STUDENT
25,19130005,Tran Thi,B127,Nu,8/12/2004,67204000359,STUDENT
26,19130006,Nguyen Van,A128,Nam,8/12/2004,67204000360,STUDENT
27,19130007,Tran Thi,B128,Nu,7/11/2004,67204000361,STUDENT
28,19130008,Nguyen Van,A129,Nam,3/3/2004,67204000362,STUDENT
29,19130009,Tran Thi,B129,Nu,5/12/2004,67204000363,STUDENT
30,19130010,Nguyen Van,A130,Nam,14/7/2018,67204000364,STUDENT
31,19130011,Tran Thi,B130,Nu,23/4/2018,67204000365,STUDENT
32,19130012,Nguyen Van,A131,Nam,25/5/2019,67204000366,STUDENT
33,19130013,Tran Thi,B131,Nu,14/9/2019,67204000367,STUDENT
34,19130014,Nguyen Van,A132,Nam,26/3/2019,67204000368,STUDENT
35,19130015,Tran Thi,B132,Nu,16/8/2019,67204000369,STUDENT
36,19140001,Nguyen Van,A133,Nam,8/12/2004,67204000370,STUDENT
37,19140002,Tran Thi,B133,Nu,8/12/2004,67204000371,STUDENT
38,19140003,Nguyen Van,A134,Nam,7/11/2004,67204000372,STUDENT
39,19140004,Tran Thi,B134,Nu,3/3/2004,67204000373,STUDENT
40,19140005,Nguyen Van,A135,Nam,5/12/2004,67204000374,STUDENT
41,19140006,Tran Thi,B135,Nu,14/7/2018,67204000375,STUDENT
42,19140007,Nguyen Van,A136,Nam,23/4/2018,67204000376,STUDENT
43,19140008,Tran Thi,B136,Nu,25/5/2019,67204000377,STUDENT
44,19140009,Nguyen Van,A137,Nam,14/9/2019,67204000378,STUDENT
45,19140010,Tran Thi,B137,Nu,26/3/2019,67204000379,STUDENT
46,19140011,Nguyen Van,A138,Nam,16/8/2019,67204000380,STUDENT
47,19140012,Tran Thi,B138,Nu,8/12/2004,67204000381,STUDENT
48,19140013,Nguyen Van,A139,Nam,8/12/2004,67204000382,STUDENT
49,19140014,Tran Thi,B139,Nu,7/11/2004,67204000383,STUDENT
50,19140015,Nguyen Van,A140,Nam,3/3/2004,67204000384,STUDENT
51,19150001,Tran Thi,B140,Nu,5/12/2004,67204000385,STUDENT
52,19150002,Nguyen Van,A141,Nam,14/7/2018,67204000386,STUDENT
53,19150003,Tran Thi,B141,Nu,23/4/2018,67204000387,STUDENT
54,19150004,Nguyen Van,A142,Nam,25/5/2019,67204000388,STUDENT
55,19150005,Tran Thi,B142,Nu,14/9/2019,67204000389,STUDENT
56,19150006,Nguyen Van,A143,Nam,26/3/2019,67204000390,STUDENT
57,19150007,Tran Thi,B143,Nu,16/8/2019,67204000391,STUDENT
58,19150008,Nguyen Van,A144,Nam,8/12/2004,67204000392,STUDENT
59,19150009,Tran Thi,B144,Nu,8/12/2004,67204000393,STUDENT
60,19150010,Nguyen Van,A145,Nam,7/11/2004,67204000394,STUDENT
61,19150011,Tran Thi,B145,Nu,3/3/2004,67204000395,STUDENT
62,19150012,Nguyen Van,A146,Nam,5/12/2004,67204000396,STUDENT
63,19150013,Tran Thi,B146,Nu,14/7/2018,67204000397,STUDENT
64,19150014,Nguyen Van,A147,Nam,23/4/2018,67204000398,STUDENT
65,19150015,Tran Thi,B147,Nu,25/5/2019,67204000399,STUDENT
