No,StudentID,FirstName,LastName,Gender,Date,CCCD/CMND,Position
1,23120001,Tran Dai,Dong1,Nam,15/02/2005,67204010101,STUDENT
2,23120002,Tran Dai,Dong2,Nu,15/07/2005,67204010102,STUDENT
3,23120003,Tran Dai,Dong3,Nam,10/2/2005,67204010103,STUDENT
4,23120004,Tran Dai,Dong4,Nam,23/11/2005,67204010104,STUDENT
5,23120005,Tran Dai,Dong5,Nam,16/07/2005,67204010105,STUDENT
6,23120006,Tran Dai,Dong6,Nam,27/12/2005,67204010106,STUDENT
7,23120007,Tran Dai,Dong7,Nu,16/12/2005,67204010107,STUDENT
8,23120008,Tran Dai,Dong8,Nam,18/11/2005,67204010108,STUDENT
9,23120009,Tran Dai,Dong9,Nam,15/10/2005,67204010109,STUDENT
10,23120010,Tran Dai,Dong10,Nu,5/11/2005,67204010110,STUDENT
11,23120011,Tran Dai,Dong11,Nam,18/11/2005,67204010111,STUDENT
12,23120012,Tran Dai,Dong12,Nam,2/9/2005,67204010112,STUDENT
13,23120013,Tran Dai,Dong13,Nu,1/2/2005,67204010113,STUDENT
14,23120014,Tran Dai,Dong14,Nu,11/5/2005,67204010114,STUDENT
15,23120015,Tran Dai,Dong15,Nam,4/2/2005,67204010115,STUDENT
16,23120016,Tran Dai,Dong16,Nam,25/04/2005,67204010116,STUDENT
17,23120017,Tran Dai,Dong17,Nam,11/10/2005,67204010117,STUDENT
18,23120018,Tran Dai,Dong18,Nu,15/09/2005,67204010118,STUDENT
19,23120019,Tran Dai,Dong19,Nu,6/5/2005,67204010119,STUDENT
20,23120020,Tran Dai,Dong20,Nu,20/08/2005,67204010120,STUDENT
21,23120021,Tran Dai,Dong21,Nu,15/02/2005,67204010121,STUDENT
22,23120022,Tran Dai,Dong22,Nam,15/07/2005,67204010122,STUDENT
23,23120023,Tran Dai,Dong23,Nu,10/2/2005,67204010123,STUDENT
24,23120024,Tran Dai,Dong24,Nam,23/11/2005,67204010124,STUDENT
25,23120025,Tran Dai,Dong25,Nam,16/07/2005,67204010125,STUDENT
26,23120026,Tran Dai,Dong26,Nam,27/12/2005,67204010126,STUDENT
27,23120027,Tran Dai,Dong27,Nam,16/12/2005,67204010127,STUDENT
28,23120028,Tran Dai,Dong28,Nam,18/11/2005,67204010128,STUDENT
29,23120029,Tran Dai,Dong29,Nam,15/10/2005,67204010129,STUDENT
30,23120030,Tran Dai,Dong30,Nam,5/11/2005,67204010130,STUDENT
31,23120031,Tran Dai,Dong31,Nam,18/11/2005,67204010131,STUDENT
32,23120032,Tran Dai,Dong32,Nam,2/9/2005,67204010132,STUDENT
33,23120033,Tran Dai,Dong33,Nu,1/2/2005,67204010133,STUDENT
34,23120034,Tran Dai,Dong34,Nam,11/5/2005,67204010134,STUDENT
35,23120035,Tran Dai,Dong35,Nam,4/2/2005,67204010135,STUDENT
36,23120036,Tran Dai,Dong36,Nu,25/04/2005,67204010136,STUDENT
37,23120037,Tran Dai,Dong37,Nam,11/10/2005,67204010137,STUDENT
38,23120038,Tran Dai,Dong38,Nam,15/09/2005,67204010138,STUDENT
39,23120039,Tran Dai,Dong39,Nu,6/5/2005,67204010139,STUDENT
40,23120040,Tran Dai,Dong40,Nam,20/08/2005,67204010140,STUDENT
41,23130001,Tran Dai,Dong41,Nam,15/02/2005,67204010141,STUDENT
42,23130002,Tran Dai,Dong42,Nam,15/07/2005,67204010142,STUDENT
43,23130003,Tran Dai,Dong43,Nu,10/2/2005,67204010143,STUDENT
44,23130004,Tran Dai,Dong44,Nu,23/11/2005,67204010144,STUDENT
45,23130005,Tran Dai,Dong45,Nam,16/07/2005,67204010145,STUDENT
