No,StudentID,FirstName,LastName,Gender,Date,CCCD/CMND,Position
1,20120001,Nguyen Van,A78,Nam,8/12/2004,67204000260,STUDENT
2,20120002,Tran Thi,B78,Nu,8/12/2004,67204000261,STUDENT
3,20120003,Nguyen Van,A79,Nam,7/11/2004,67204000262,STUDENT
4,20120004,Tran Thi,B79,Nu,3/3/2004,67204000263,STUDENT
5,20120005,Nguyen Van,A80,Nam,5/12/2004,67204000264,STUDENT
6,20120006,Tran Thi,B80,Nu,14/7/2018,67204000265,STUDENT
7,20120007,Nguyen Van,A81,Nam,23/4/2018,67204000266,STUDENT
8,20120008,Tran Thi,B81,Nu,25/5/2019,67204000267,STUDENT
9,20120009,Nguyen Van,A82,Nam,14/9/2019,67204000268,STUDENT
10,20120010,Tran Thi,B82,Nu,26/3/2019,67204000269,STUDENT
11,20120011,Nguyen Van,A83,Nam,16/8/2019,67204000270,STUDENT
12,20120012,Tran Thi,B83,Nu,8/12/2004,67204000271,STUDENT
13,20120013,Nguyen Van,A84,Nam,8/12/2004,67204000272,STUDENT
14,20120014,Tran Thi,B84,Nu,7/11/2004,67204000273,STUDENT
15,20120015,Nguyen Van,A85,Nam,3/3/2004,67204000274,STUDENT
16,20120016,Tran Thi,B85,Nu,5/12/2004,67204000275,STUDENT
17,20120017,Nguyen Van,A86,Nam,14/7/2018,67204000276,STUDENT
18,20120018,Tran Thi,B86,Nu,23/4/2018,67204000277,STUDENT
19,20120019,Nguyen Van,A87,Nam,25/5/2019,67204000278,STUDENT
20,20120020,Tran Thi,B87,Nu,14/9/2019,67204000279,STUDENT
21,20120021,Nguyen Van,A88,Nam,26/3/2019,67204000280,STUDENT
22,20120022,Tran Thi,B88,Nu,16/8/2019,67204000281,STUDENT
23,20120023,Nguyen Van,A89,Nam,8/12/2004,67204000282,STUDENT
24,20120024,Tran Thi,B89,Nu,8/12/2004,67204000283,STUDENT
25,20120025,Nguyen Van,A90,Nam,7/11/2004,67204000284,STUDENT
26,20120026,Tran Thi,B90,Nu,3/3/2004,67204000285,STUDENT
27,20120027,Nguyen Van,A91,Nam,5/12/2004,67204000286,STUDENT
28,20120028,Tran Thi,B91,Nu,14/7/2018,67204000287,STUDENT
29,20120029,Nguyen Van,A92,Nam,23/4/2018,67204000288,STUDENT
